hour;Zeitstempel;YYYYMMDD;hhmmss;unixtimestamp;P_el
1;2022-12-31 23:00:00+00:00;20220101;2250;1640992950;0.27110625
2;2023-01-01 00:00:00+00:00;20220101;12250;1640996550;0.284473
3;2023-01-01 01:00:00+00:00;20220101;22250;1641000150;0.27600375
4;2023-01-01 02:00:00+00:00;20220101;32250;1641003750;0.27454775
5;2023-01-01 03:00:00+00:00;20220101;42250;1641007350;0.28594725
6;2023-01-01 04:00:00+00:00;20220101;52250;1641010950;0.291157
7;2023-01-01 05:00:00+00:00;20220101;62250;1641014550;0.2944725
8;2023-01-01 06:00:00+00:00;20220101;72250;1641018150;0.27603525
9;2023-01-01 07:00:00+00:00;20220101;82250;1641021750;1.07203175
10;2023-01-01 08:00:00+00:00;20220101;92250;1641025350;0.30135925
11;2023-01-01 09:00:00+00:00;20220101;102250;1641028950;0.29646
12;2023-01-01 10:00:00+00:00;20220101;112250;1641032550;0.31988725
13;2023-01-01 11:00:00+00:00;20220101;122250;1641036150;0.41294375
14;2023-01-01 12:00:00+00:00;20220101;132250;1641039750;0.507796
15;2023-01-01 13:00:00+00:00;20220101;142250;1641043350;0.371338
16;2023-01-01 14:00:00+00:00;20220101;152250;1641046950;0.34859875
17;2023-01-01 15:00:00+00:00;20220101;162250;1641050550;0.43164575
18;2023-01-01 16:00:00+00:00;20220101;172250;1641054150;1.0979655
19;2023-01-01 17:00:00+00:00;20220101;182250;1641057750;0.6210895
20;2023-01-01 18:00:00+00:00;20220101;192250;1641061350;1.33277975
21;2023-01-01 19:00:00+00:00;20220101;202250;1641064950;1.546653
22;2023-01-01 20:00:00+00:00;20220101;212250;1641068550;1.58899675
23;2023-01-01 21:00:00+00:00;20220101;222250;1641072150;0.6378795
24;2023-01-01 22:00:00+00:00;20220101;232250;1641075750;0.5811115
25;2023-01-01 23:00:00+00:00;20220102;2250;1641079350;0.409128
26;2023-01-02 00:00:00+00:00;20220102;12250;1641082950;0.277654
27;2023-01-02 01:00:00+00:00;20220102;22250;1641086550;0.280048
28;2023-01-02 02:00:00+00:00;20220102;32250;1641090150;0.285868
29;2023-01-02 03:00:00+00:00;20220102;42250;1641093750;0.26100725
30;2023-01-02 04:00:00+00:00;20220102;52250;1641097350;0.272269
31;2023-01-02 05:00:00+00:00;20220102;62250;1641100950;0.30121675
32;2023-01-02 06:00:00+00:00;20220102;72250;1641104550;0.28605
33;2023-01-02 07:00:00+00:00;20220102;82250;1641108150;0.29152825
34;2023-01-02 08:00:00+00:00;20220102;92250;1641111750;0.29581475
35;2023-01-02 09:00:00+00:00;20220102;102250;1641115350;0.29196025
36;2023-01-02 10:00:00+00:00;20220102;112250;1641118950;0.29291375
37;2023-01-02 11:00:00+00:00;20220102;122250;1641122550;0.280795
38;2023-01-02 12:00:00+00:00;20220102;132250;1641126150;0.2605945
39;2023-01-02 13:00:00+00:00;20220102;142250;1641129750;0.28057625
40;2023-01-02 14:00:00+00:00;20220102;152250;1641133350;0.29104575
41;2023-01-02 15:00:00+00:00;20220102;162250;1641136950;0.2935915
42;2023-01-02 16:00:00+00:00;20220102;172250;1641140550;0.28924725
43;2023-01-02 17:00:00+00:00;20220102;182250;1641144150;0.29480025
44;2023-01-02 18:00:00+00:00;20220102;192250;1641147750;0.29742575
45;2023-01-02 19:00:00+00:00;20220102;202250;1641151350;0.29388175
46;2023-01-02 20:00:00+00:00;20220102;212250;1641154950;0.28334675
47;2023-01-02 21:00:00+00:00;20220102;222250;1641158550;0.2660845
48;2023-01-02 22:00:00+00:00;20220102;232250;1641162150;0.264319
49;2023-01-02 23:00:00+00:00;20220103;2250;1641165750;0.27347125
50;2023-01-03 00:00:00+00:00;20220103;12250;1641169350;0.28955175
51;2023-01-03 01:00:00+00:00;20220103;22250;1641172950;0.28161425
52;2023-01-03 02:00:00+00:00;20220103;32250;1641176550;0.2897215
53;2023-01-03 03:00:00+00:00;20220103;42250;1641180150;0.30943375
54;2023-01-03 04:00:00+00:00;20220103;52250;1641183750;0.327269
55;2023-01-03 05:00:00+00:00;20220103;62250;1641187350;0.2918805
56;2023-01-03 06:00:00+00:00;20220103;72250;1641190950;0.29499625
57;2023-01-03 07:00:00+00:00;20220103;82250;1641194550;0.27847375
58;2023-01-03 08:00:00+00:00;20220103;92250;1641198150;0.27285525
59;2023-01-03 09:00:00+00:00;20220103;102250;1641201750;0.2770765
60;2023-01-03 10:00:00+00:00;20220103;112250;1641205350;0.31046725
61;2023-01-03 11:00:00+00:00;20220103;122250;1641208950;0.28002925
62;2023-01-03 12:00:00+00:00;20220103;132250;1641212550;0.27658
63;2023-01-03 13:00:00+00:00;20220103;142250;1641216150;0.31330625
64;2023-01-03 14:00:00+00:00;20220103;152250;1641219750;0.30035725
65;2023-01-03 15:00:00+00:00;20220103;162250;1641223350;0.29414225
66;2023-01-03 16:00:00+00:00;20220103;172250;1641226950;0.26870075
67;2023-01-03 17:00:00+00:00;20220103;182250;1641230550;0.29033475
68;2023-01-03 18:00:00+00:00;20220103;192250;1641234150;0.2780035
69;2023-01-03 19:00:00+00:00;20220103;202250;1641237750;0.26391225
70;2023-01-03 20:00:00+00:00;20220103;212250;1641241350;0.26913175
71;2023-01-03 21:00:00+00:00;20220103;222250;1641244950;0.29289775
72;2023-01-03 22:00:00+00:00;20220103;232250;1641248550;0.29788375
73;2023-01-03 23:00:00+00:00;20220104;2250;1641252150;0.294685
74;2023-01-04 00:00:00+00:00;20220104;12250;1641255750;0.29940675
75;2023-01-04 01:00:00+00:00;20220104;22250;1641259350;0.29882
76;2023-01-04 02:00:00+00:00;20220104;32250;1641262950;0.2952315
77;2023-01-04 03:00:00+00:00;20220104;42250;1641266550;0.29321325
78;2023-01-04 04:00:00+00:00;20220104;52250;1641270150;0.26589425
79;2023-01-04 05:00:00+00:00;20220104;62250;1641273750;0.286392
80;2023-01-04 06:00:00+00:00;20220104;72250;1641277350;0.30332825
81;2023-01-04 07:00:00+00:00;20220104;82250;1641280950;0.299821
82;2023-01-04 08:00:00+00:00;20220104;92250;1641284550;0.2981255
83;2023-01-04 09:00:00+00:00;20220104;102250;1641288150;0.293568
84;2023-01-04 10:00:00+00:00;20220104;112250;1641291750;0.29355325
85;2023-01-04 11:00:00+00:00;20220104;122250;1641295350;0.29442975
86;2023-01-04 12:00:00+00:00;20220104;132250;1641298950;0.305062
87;2023-01-04 13:00:00+00:00;20220104;142250;1641302550;0.26536
88;2023-01-04 14:00:00+00:00;20220104;152250;1641306150;0.28559375
89;2023-01-04 15:00:00+00:00;20220104;162250;1641309750;0.2813615
90;2023-01-04 16:00:00+00:00;20220104;172250;1641313350;0.287391
91;2023-01-04 17:00:00+00:00;20220104;182250;1641316950;0.283432
92;2023-01-04 18:00:00+00:00;20220104;192250;1641320550;0.2835035
93;2023-01-04 19:00:00+00:00;20220104;202250;1641324150;0.29457375
94;2023-01-04 20:00:00+00:00;20220104;212250;1641327750;0.295541
95;2023-01-04 21:00:00+00:00;20220104;222250;1641331350;0.29625225
96;2023-01-04 22:00:00+00:00;20220104;232250;1641334950;0.29791525
97;2023-01-04 23:00:00+00:00;20220105;2250;1641338550;0.27942
98;2023-01-05 00:00:00+00:00;20220105;12250;1641342150;0.27129925
99;2023-01-05 01:00:00+00:00;20220105;22250;1641345750;0.2949285
100;2023-01-05 02:00:00+00:00;20220105;32250;1641349350;0.29591375
101;2023-01-05 03:00:00+00:00;20220105;42250;1641352950;0.29454875
102;2023-01-05 04:00:00+00:00;20220105;52250;1641356550;0.33891875
103;2023-01-05 05:00:00+00:00;20220105;62250;1641360150;0.37810375
104;2023-01-05 06:00:00+00:00;20220105;72250;1641363750;0.430037
105;2023-01-05 07:00:00+00:00;20220105;82250;1641367350;0.3481715
106;2023-01-05 08:00:00+00:00;20220105;92250;1641370950;0.4959445
107;2023-01-05 09:00:00+00:00;20220105;102250;1641374550;0.3619905
108;2023-01-05 10:00:00+00:00;20220105;112250;1641378150;0.278244
109;2023-01-05 11:00:00+00:00;20220105;122250;1641381750;0.289626
110;2023-01-05 12:00:00+00:00;20220105;132250;1641385350;0.293452
111;2023-01-05 13:00:00+00:00;20220105;142250;1641388950;0.294742
112;2023-01-05 14:00:00+00:00;20220105;152250;1641392550;0.5193915
113;2023-01-05 15:00:00+00:00;20220105;162250;1641396150;0.42718225
114;2023-01-05 16:00:00+00:00;20220105;172250;1641399750;0.283824
115;2023-01-05 17:00:00+00:00;20220105;182250;1641403350;0.30657825
116;2023-01-05 18:00:00+00:00;20220105;192250;1641406950;0.81927875
117;2023-01-05 19:00:00+00:00;20220105;202250;1641410550;0.70186925
118;2023-01-05 20:00:00+00:00;20220105;212250;1641414150;1.13354975
119;2023-01-05 21:00:00+00:00;20220105;222250;1641417750;0.40196625
120;2023-01-05 22:00:00+00:00;20220105;232250;1641421350;0.30860275
121;2023-01-05 23:00:00+00:00;20220106;2250;1641424950;0.39532075
122;2023-01-06 00:00:00+00:00;20220106;12250;1641428550;0.31117025
123;2023-01-06 01:00:00+00:00;20220106;22250;1641432150;0.29421625
124;2023-01-06 02:00:00+00:00;20220106;32250;1641435750;0.291019
125;2023-01-06 03:00:00+00:00;20220106;42250;1641439350;0.29515975
126;2023-01-06 04:00:00+00:00;20220106;52250;1641442950;0.2864085
127;2023-01-06 05:00:00+00:00;20220106;62250;1641446550;0.2638605
128;2023-01-06 06:00:00+00:00;20220106;72250;1641450150;0.3215075
129;2023-01-06 07:00:00+00:00;20220106;82250;1641453750;0.375993
130;2023-01-06 08:00:00+00:00;20220106;92250;1641457350;0.44182375
131;2023-01-06 09:00:00+00:00;20220106;102250;1641460950;0.525039
