# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 47.727; 10.317 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060;;;;;;;;;;;;;
# Units: time in UTC; local_time in Europe/Berlin; electricity in kW;;;;;;;;;;;;
"# {""units"": {""time"": ""UTC""";" ""local_time"": ""Europe/Berlin""";" ""electricity"": ""kW""}";" ""params"": {""local_time"": ""true""";" ""lat"": ""47.7267063""";" ""lon"": ""10.3168835""";" ""date_from"": ""2019-01-01""";" ""date_to"": ""2019-12-31""";" ""dataset"": ""merra2""";" ""capacity"": ""10""";" ""system_loss"": ""0.1""";" ""tracking"": ""0""";" ""tilt"": ""35""";" ""azim"": ""180""";" ""raw"": ""false""}}"
time;local_time;electricity;hour_of_the_year;;;;;;;;;;;
01.01.2019 00:00;01.01.2019 01:00;0;1;;;;;;;;;;;
01.01.2019 01:00;01.01.2019 02:00;0;2;;;;;;;;;;;
01.01.2019 02:00;01.01.2019 03:00;0;3;;;;;;;;;;;
01.01.2019 03:00;01.01.2019 04:00;0;4;;;;;;;;;;;
01.01.2019 04:00;01.01.2019 05:00;0;5;;;;;;;;;;;
01.01.2019 05:00;01.01.2019 06:00;0;6;;;;;;;;;;;
01.01.2019 06:00;01.01.2019 07:00;0;7;;;;;;;;;;;
01.01.2019 07:00;01.01.2019 08:00;0.132;8;;;;;;;;;;;
01.01.2019 08:00;01.01.2019 09:00;0.696;9;;;;;;;;;;;
01.01.2019 09:00;01.01.2019 10:00;1.681;10;;;;;;;;;;;
01.01.2019 10:00;01.01.2019 11:00;2.392;11;;;;;;;;;;;
01.01.2019 11:00;01.01.2019 12:00;2.153;12;;;;;;;;;;;
01.01.2019 12:00;01.01.2019 13:00;2.244;13;;;;;;;;;;;
01.01.2019 13:00;01.01.2019 14:00;1.5;14;;;;;;;;;;;
01.01.2019 14:00;01.01.2019 15:00;0.531;15;;;;;;;;;;;
01.01.2019 15:00;01.01.2019 16:00;0.002;16;;;;;;;;;;;
01.01.2019 16:00;01.01.2019 17:00;0;17;;;;;;;;;;;
01.01.2019 17:00;01.01.2019 18:00;0;18;;;;;;;;;;;
01.01.2019 18:00;01.01.2019 19:00;0;19;;;;;;;;;;;
01.01.2019 19:00;01.01.2019 20:00;0;20;;;;;;;;;;;
01.01.2019 20:00;01.01.2019 21:00;0;21;;;;;;;;;;;
01.01.2019 21:00;01.01.2019 22:00;0;22;;;;;;;;;;;
01.01.2019 22:00;01.01.2019 23:00;0;23;;;;;;;;;;;
01.01.2019 23:00;02.01.2019 00:00;0;24;;;;;;;;;;;
02.01.2019 00:00;02.01.2019 01:00;0;25;;;;;;;;;;;
